model,f1,roc_auc,average_precision,precision,recall,fold
Logistic Regression,1.0,1.0,1.0,1.0,1.0,1
Logistic Regression,0.9230769230769231,1.0,1.0,0.8571428571428571,1.0,2
Logistic Regression,1.0,1.0,1.0,1.0,1.0,3
Logistic Regression,1.0,1.0,1.0,1.0,1.0,4
Logistic Regression,0.8333333333333334,0.9827586206896551,0.5628571428571428,0.7142857142857143,1.0,5
Random Forest,1.0,1.0,1.0,1.0,1.0,1
Random Forest,0.9230769230769231,1.0,1.0,0.8571428571428571,1.0,2
Random Forest,1.0,1.0,1.0,1.0,1.0,3
Random Forest,1.0,1.0,1.0,1.0,1.0,4
Random Forest,1.0,1.0,1.0,1.0,1.0,5
SVM,1.0,1.0,1.0,1.0,1.0,1
SVM,0.9230769230769231,1.0,1.0,0.8571428571428571,1.0,2
SVM,1.0,1.0,1.0,1.0,1.0,3
SVM,1.0,1.0,1.0,1.0,1.0,4
SVM,0.8333333333333334,1.0,1.0,0.7142857142857143,1.0,5
